"","club.x","playDirection","y.x","a.x","dis.x","dir.x","weight.x","position.x","tackle","club.y","x.y","s.y","a.y","dis.y","o.y","weight.y","position.y","quarter","down","yardsToGo","yardlineNumber","gameClock","passResult","offenseFormation","defendersInTheBox","preSnapHomeTeamWinProbability","preSnapVisitorTeamWinProbability","homeTeamWinProbabilityAdded","visitorTeamWinProbilityAdded","expectedPoints","expectedPointsAdded","age.y"
"8254","NO","right",41.69,3.49,0.26,27.82,300,"DT",1,"LV",35.77,1.73,3.88,0.21,118.03,215,"WR",4,2,27,22,855,"C","SHOTGUN",6,0.995316565,0.004683435,0.001214416,-0.001214416,-0.239665207,-0.771902009,29.9505494505494
"8439","IND","right",51.05,1.6,0.27,123.57,236,"OLB",0,"WAS",42.76,3.67,2.44,0.36,343.31,221,"RB",1,1,10,17,816,"C","SINGLEBACK",5,0.563418243,0.436581757,-0.039516326,0.039516326,0.660277215,1.163022046,24.4368131868132
"4185","JAX","left",18.08,1.43,0.1,229.47,310,"DT",1,"PHI",73.61,0.26,0.82,0.03,238.46,211,"RB",4,1,10,36,355,"mi","SHOTGUN",7,0.95159413,0.04840587,-0.000705318,0.000705318,1.968027911,-0.580054786,25.5082417582418
"8643","GB","right",32.36,0.68,0.08,13.62,265,"OLB",1,"BUF",74.44,0.82,0.96,0.06,92.6,320,"T",3,1,20,36,477,"mi","SHOTGUN",6,0.977333355,0.022666645,-0.001588361,0.001588361,3.666536147,-0.564725244,28.6098901098901
"1269","BAL","right",21.84,3.11,0.18,88.98,252,"OLB",1,"MIA",83.73,2.57,2.36,0.27,188.88,197,"RB",4,1,10,30,854,"mi","SHOTGUN",6,0.976739708,0.023260292,0.002819157,-0.002819157,3.855852045,-0.102966717,30.5467032967033
"3558","NO","left",25.31,3.05,0.42,27.72,193,"CB",1,"MIN",53.64,3.78,3.64,0.38,16.96,200,"WR",2,3,8,46,176,"C","SHOTGUN",4,0.397600722,0.602399278,-0.041921102,0.041921102,1.099954825,1.807946471,32.2225274725275
"3882","DET","left",25.41,1.72,0.27,207.76,245,"ILB",1,"SEA",67.03,1.87,1.55,0.19,115.35,210,"RB",2,1,10,40,787,"mi","SINGLEBACK",7,0.356223013,0.643776987,0.000775814,-0.000775814,1.783941721,-0.199833954,NA
"2798","NE","right",31.92,1.09,0.42,340.66,213,"SS",1,"BAL",44.32,3.5,2.11,0.36,40.39,315,"G",1,1,10,31,632,"mi","SHOTGUN",8,0.5261003,0.4738997,-0.009456381,0.009456381,1.675739293,0.137485357,32.6620879120879
"6735","ARI","left",25.59,3.47,0.74,245.52,190,"CB",1,"NO",70.21,5.97,4.61,0.54,200.15,210,"WR",4,1,10,20,160,"C","SHOTGUN",6,0.980275059,0.019724941,-2.25e-05,2.25e-05,1.731798872,0.673740574,26.8763736263736
"7919","CAR","left",8.82,2.37,0.03,257.5,200,"CB",1,"ATL",71.53,2.28,0.26,0.19,231.87,195,"RB",1,2,6,42,195,"C","SHOTGUN",7,0.584182248,0.415817752,-0.033531163,0.033531163,2.082477958,-1.226424728,NA
"2510","CHI","left",35.79,1.93,0.06,31.37,202,"SS",1,"HOU",18.64,3.32,0.7,0.35,7.42,310,"C",1,2,1,11,300,"mi","SINGLEBACK",6,0.716687502,0.283312498,-0.004813135,0.004813135,5.599497332,0.198892378,27.6043956043956
"6622","LAC","left",18.5,4.71,0.43,359.32,196,"CB",1,"DEN",75.02,4.27,4.27,0.44,61.31,216,"WR",3,3,5,30,499,"C","SHOTGUN",6,0.597603951,0.402396049,-0.044894177,0.044894177,0.322015392,1.500575705,27.1126373626374
"2145","TEN","right",22.86,0.22,0.21,55.92,201,"FS",0,"BUF",76.55,0.26,1.79,0.03,16.6,325,"G",2,1,10,35,513,"mi","I_FORM",7,0.836289827,0.163710173,0.001052896,-0.001052896,3.686428418,-0.16790315,34.4038461538462
"2135","BUF","left",11.83,2.97,0.16,169.38,280,"DE",1,"TEN",73.71,3.41,2.47,0.35,222,270,"G",2,2,18,34,858,"mi","SINGLEBACK",6,0.775912933,0.224087067,0.004639458,-0.004639458,0.482920705,-0.631630282,24.978021978022
"9349","MIN","right",17.86,1.27,0.01,308.83,232,"ILB",0,"WAS",57.88,2.84,1.31,0.29,151.89,325,"C",3,2,10,44,137,"R","SHOTGUN",6,0.649330229,0.350669771,0.032755729,-0.032755729,1.754373044,0.67380895,31.4395604395604
"4015","IND","right",31.9,2.49,0.23,24.17,195,"FS",1,"TEN",70.97,2.59,3.68,0.28,322.37,202,"RB",2,1,10,44,54,"C","SHOTGUN",5,0.129759956,0.870240044,-0.004407885,0.004407885,2.647024443,0.195272177,27.6923076923077
"955","LV","right",8.43,1.57,0.12,135.6,195,"CB",1,"LAC",39.45,1.34,2.77,0.14,262.47,218,"WR",4,1,10,25,272,"C","SINGLEBACK",7,0.884306818,0.115693182,-0.010172904,0.010172904,0.986575744,-0.222521084,28.032967032967
"2588","MIA","left",7.99,1.6,0.1,268.62,230,"ILB",1,"BUF",18.73,0.8,0.2,0.08,268.26,203,"RB",2,2,9,9,768,"C","SHOTGUN",6,0.344674252,0.655325748,0.008497376,-0.008497376,4.521954905,-0.760246162,25.1456043956044
"7314","HOU","right",31.39,1.6,0.14,144.79,230,"OLB",0,"LV",62.23,2.09,0.73,0.22,94.87,285,"G",2,1,10,42,157,"mi","I_FORM",7,0.601990268,0.398009732,-0.026465073,0.026465073,2.992256514,-0.310313078,NA
"6039","MIA","right",1.38,0.95,0.27,219.39,193,"CB",1,"MIN",26.64,2.87,2.01,0.28,161.43,240,"TE",2,3,11,15,751,"C","SHOTGUN",5,0.452282775,0.547717225,0.034722857,-0.034722857,-1.1234398,-0.842036376,24.2692307692308
"6101","CIN","right",9.9,4.17,0.32,147.73,311,"DT",1,"NO",41.01,3.98,2.71,0.41,275.05,215,"RB",2,2,5,30,309,"mi","SINGLEBACK",6,0.5784203,0.4215797,-0.021333057,0.021333057,1.201118396,-0.557885748,27.3214285714286
"1955","HOU","right",29.5,0.21,0.15,29.23,279,"DE",1,"DEN",48.46,1.47,1.43,0.15,183.11,220,"RB",4,1,10,38,82,"mi","SINGLEBACK",7,0.996012043,0.003987957,0.00010775,-0.00010775,1.408210612,-0.346939071,NA
"4007","TEN","left",39.49,1.61,0.04,131.6,212,"FS",0,"IND",25.66,5.83,1.16,0.59,274.56,221,"RB",2,1,10,38,243,"C","SHOTGUN",6,0.114631839,0.885368161,0.065174984,-0.065174984,3.3903487,2.42444356,23.782967032967
"7419","SEA","right",42.98,1.77,0.31,18.22,197,"FS",0,"LAC",57.32,0.75,2.98,0.09,22.63,240,"TE",3,3,11,24,12,"C","SHOTGUN",5,0.081968531,0.918031469,0.071093298,-0.071093298,-0.538398779,3.455365775,28.4258241758242
"7528","KC","left",18.95,2.13,0.1,234.14,205,"FS",1,"SF",17.25,1.15,1.91,0.12,338.79,223,"RB",1,1,9,9,434,"mi","SINGLEBACK",6,0.723599371,0.276400629,-0.003707789,0.003707789,5.375612272,-0.467061432,NA
"3505","CIN","left",33.2,4.2,0.56,305.53,202,"CB",1,"MIA",14.6,5.18,4.83,0.53,305.31,185,"WR",3,1,10,31,296,"C","SHOTGUN",6,0.593901899,0.406098101,-0.171630654,0.171630654,1.680950633,4.241253677,28.6785714285714
"256","CHI","left",11.95,1.28,0.06,201.4,250,"DE",1,"SF",89.09,0.51,1.47,0.06,229.57,214,"WR",3,2,6,24,284,"mi","SHOTGUN",7,0.311845001,0.688154999,0.004013225,-0.004013225,0.695068965,-0.633211107,26.7472527472527
"6944","ATL","left",1.31,3.18,0.14,202.82,185,"CB",1,"CIN",11.83,3.42,3.49,0.36,95.63,220,"RB",1,1,5,5,380,"C","SHOTGUN",6,0.882690875,0.117309125,0.0002655,-0.0002655,5.952421877,-0.021995576,26.3379120879121
"5634","KC","right",30.37,4.42,0.24,109.79,232,"ILB",1,"LV",51.95,3.94,3.74,0.41,8.95,285,"G",1,2,17,26,639,"C","SINGLEBACK",6,0.630328506,0.369671494,-0.023273118,0.023273118,0.365372463,0.83948957,NA
"886","KC","right",18.66,3.58,0.23,191.81,238,"ILB",1,"ARI",32.89,3.81,1.52,0.39,163.38,310,"G",4,1,10,21,106,"mi","SHOTGUN",6,0.001510006,0.998489994,-2.04e-05,2.04e-05,0.902557951,-0.383134116,25.3076923076923
"5272","WAS","left",38.42,2.12,0.26,310.17,205,"CB",0,"TEN",67.55,6.16,2.45,0.64,357.01,310,"T",2,2,5,30,795,"mi","SINGLEBACK",7,0.538821336,0.461178664,-0.055276275,0.055276275,1.164191208,1.284203041,NA
"2382","CAR","right",6.79,5.12,0.22,210.36,211,"FS",1,"NO",32.77,4.35,2.84,0.47,153.27,314,"T",2,3,13,22,750,"C","EMPTY",5,0.784747008,0.215252992,0.012434203,-0.012434203,-1.052312417,-0.502994724,28.5247252747253
"8116","TEN","left",9.52,2.43,0.46,135.4,237,"ILB",1,"HOU",48.57,4.24,2.88,0.43,320.84,245,"FB",1,1,10,39,498,"C","I_FORM",6,0.638150908,0.361849092,-0.012011744,0.012011744,3.669132451,-0.506064561,NA
"7033","NYG","left",33.19,2.62,0.2,292.64,218,"SS",1,"JAX",20.54,1.78,1.65,0.19,240.01,315,"G",2,3,10,14,843,"C","SHOTGUN",5,0.695939343,0.304060657,-0.012200562,0.012200562,3.782333011,-0.942367299,30.9313186813187
"1263","BAL","left",29.06,3.38,0.23,8.19,195,"FS",1,"MIA",63.12,1.19,2.89,0.11,16.71,185,"WR",3,3,2,37,297,"C","SHOTGUN",6,0.910398124,0.089601876,-0.031558624,0.031558624,1.220670348,1.535052856,28.6483516483516
"9307","BUF","left",52.1,2.74,0.19,349.84,195,"SS",1,"NYJ",78.93,1.75,3.26,0.19,325.48,192,"WR",1,1,10,16,271,"C","SINGLEBACK",6,0.110064995,0.889935005,0.004903983,-0.004903983,0.565365436,1.078193508,NA
"4153","PHI","right",21.44,5.34,0.23,162.66,216,"ILB",1,"JAX",45.16,6.44,2.93,0.66,175.28,200,"RB",2,2,10,25,231,"mi","SHOTGUN",6,0.589385934,0.410614066,-0.016027655,0.016027655,0.728837995,0.441855205,NA
"8335","NYJ","left",21.29,1.51,0.25,267.88,279,"DE",0,"NE",76.86,2.71,1.6,0.28,277.81,310,"T",4,1,10,30,316,"mi","SINGLEBACK",8,0.013044188,0.986955812,-0.004026921,0.004026921,1.317784667,0.266489209,26.9835164835165
"776","WAS","right",22.47,2.33,0.35,144.34,240,"ILB",1,"JAX",78.13,3.08,3.58,0.32,142.02,240,"TE",2,1,10,39,68,"C","SHOTGUN",6,0.810323255,0.189676745,-0.013815038,0.013815038,3.038345214,0.636276306,28.1208791208791
"2353","CLE","left",51.6,1.41,0.15,0.93,280,"DE",1,"PIT",31.94,2.33,2.59,0.24,92.79,200,"WR",4,2,10,26,143,"C","SHOTGUN",6,0.917653954,0.082346046,0.009796213,-0.009796213,3.457167357,0.059396665,NA
"8649","BUF","left",40.47,0.72,0.01,305.8,250,"ILB",1,"GB",65.48,0.67,1.89,0.07,211.32,250,"RB",3,1,10,40,244,"mi","SHOTGUN",7,0.977962087,0.022037913,-0.000435621,0.000435621,2.300195621,0.138237572,24.5796703296703
"2801","BAL","left",43.33,0.8,0.05,94.77,305,"DT",0,"NE",80.72,4.08,1.65,0.4,140.47,246,"RB",4,2,10,29,392,"mi","SHOTGUN",6,0.234637886,0.765362114,-0.013333686,0.013333686,0.824087552,-0.325898738,NA
"2755","BAL","right",50.01,4.54,0.32,1.82,197,"CB",1,"NE",70.13,4.55,4.85,0.47,24.47,198,"WR",2,3,4,47,681,"C","SHOTGUN",6,0.430211209,0.569788791,0.068449739,-0.068449739,1.291266147,2.072903057,29.4395604395604
"7043","NYG","left",39.27,2.79,0.13,358.61,342,"DT",1,"JAX",63.07,1.04,3.06,0.11,46.07,310,"G",2,1,10,49,294,"mi","SHOTGUN",7,0.682390261,0.317609739,-0.035197902,0.035197902,2.465374935,-1.313931718,31.5769230769231
"3760","ARI","left",15.79,2.44,0.15,172.36,233,"ILB",1,"CAR",68.21,0.54,1.67,0.06,4.39,205,"RB",2,1,10,34,183,"C","SHOTGUN",6,0.685794286,0.314205714,0.018153764,-0.018153764,1.693705177,0.471832691,26.4093406593407
"7295","NYJ","right",1.15,0.42,0.43,143.01,200,"CB",1,"DEN",44.53,3.71,2.32,0.39,162.65,263,"TE",1,2,9,26,418,"C","SHOTGUN",7,0.288754331,0.711245669,0.007320819,-0.007320819,0.799800557,0.69463506,30.6071428571429
"7900","ATL","right",13.99,2.46,0.51,163.18,219,"ILB",0,"CAR",35.42,2.95,1.91,0.31,124.62,325,"T",4,1,10,25,134,"mi","SHOTGUN",6,0.69604893,0.30395107,0.028496578,-0.028496578,1.463666466,-0.477659174,28.717032967033
"6444","ARI","left",0.67,0.48,0.28,188.1,195,"SS",1,"SEA",80.75,2.46,0.97,0.25,168.16,249,"TE",2,2,7,23,864,"C","JUMBO",8,0.434497233,0.565502767,0.024585493,-0.024585493,0.385094678,0.683543087,24.989010989011
"7534","SF","right",3.11,3.21,0.63,107.95,236,"ILB",1,"KC",72.11,6.22,2.24,0.64,349.18,260,"TE",1,3,1,36,307,"C","SINGLEBACK",8,0.754292091,0.245707909,-0.031406021,0.031406021,1.784414938,1.990815414,33.1620879120879
"7521","KC","left",7.47,2.02,0.15,39.76,204,"CB",1,"SF",49.97,4.33,4,0.45,334.33,225,"QB",4,2,2,45,308,"R","SHOTGUN",5,0.00528888,0.99471112,-0.000519809,0.000519809,2.260984618,-1.590574548,31.0796703296703
"1821","SEA","left",33.74,3.99,0.22,0.31,366,"NT",1,"SF",29.77,1.71,3.62,0.18,144.4,226,"QB",1,2,8,21,153,"mi","SHOTGUN",6,0.862768948,0.137231052,3.93e-05,-3.93e-05,4.262237282,-0.464513037,NA
"6001","JAX","left",3.06,3.7,0.17,151.92,220,"SS",1,"IND",75.92,2.34,2.95,0.25,184.17,220,"RB",3,2,8,36,41,"C","SHOTGUN",6,0.51504422,0.48495578,-0.045267619,0.045267619,1.400551899,-0.782209663,NA
"4320","NE","right",30.65,3.41,0.13,116.08,190,"CB",1,"GB",50.97,2.23,3.15,0.23,174.59,267,"TE",5,1,10,35,325,"mi","SHOTGUN",7,0.577865954,0.422134046,0.012565603,-0.012565603,1.709202782,0.177202655,38.5027472527473
"8251","NO","left",27.08,1.72,0.26,137.56,265,"DE",1,"LV",86.15,3.2,0.58,0.32,301.96,250,"TE",3,1,10,28,89,"C","SHOTGUN",6,0.992784853,0.007215147,0.001170664,-0.001170664,1.247665316,-0.985458319,25.5714285714286
"5125","MIA","right",15.75,2,0.03,193.28,266,"OLB",1,"NYJ",52.03,0.38,1.98,0.05,194.08,200,"RB",1,2,4,42,824,"mi","SINGLEBACK",6,0.456368964,0.543631036,0.003355686,-0.003355686,2.194852413,-0.393712911,NA
"3054","LAC","left",47.96,1.89,0.09,234.54,188,"CB",0,"JAX",71.8,3.93,2.87,0.41,318.69,315,"G",3,1,10,25,711,"C","EMPTY",5,0.352312557,0.647687443,-0.056340724,0.056340724,1.389321046,0.961374868,30.8543956043956
"4534","LA","left",15.86,3.46,0.38,262.2,242,"ILB",1,"SF",42.55,4.38,4.26,0.44,234.56,214,"WR",1,3,5,44,219,"C","EMPTY",6,0.51560184,0.48439816,0.066450533,-0.066450533,1.981865814,1.906023296,25.3186813186813
"9104","GB","right",23.73,1.69,0.12,47.82,240,"ILB",1,"DET",30.82,1.27,2.1,0.13,4.02,213,"RB",2,1,10,20,896,"mi","SINGLEBACK",7,0.316715539,0.683284461,-0.025983796,0.025983796,1.129904008,-0.586065823,27.6895604395604
"1612","CAR","right",38.69,6.24,0.29,29.85,202,"FS",1,"NYG",68.4,5.56,2.07,0.56,64.48,210,"WR",4,3,1,44,519,"mi","I_FORM",8,0.557210527,0.442789473,0.062582187,-0.062582187,2.109922444,1.068648241,26.3956043956044
"8524","LA","right",20.65,2.39,0.04,177.9,240,"DE",1,"SF",82.45,0.82,1.16,0.09,267.82,205,"RB",4,2,5,31,859,"C","EMPTY",5,0.237576913,0.762423087,-0.000713065,0.000713065,3.627455854,0.02712672,26.4862637362637
"8305","NYJ","left",32.59,2.55,0.29,242.5,250,"ILB",1,"NE",14.51,0.55,1.59,0.06,114.58,246,"RB",2,1,10,12,23,"mi","SHOTGUN",6,0.562174816,0.437825184,0.044718761,-0.044718761,4.494727072,-1.543497947,NA
"9335","WAS","left",36.76,2.89,0.27,257.39,245,"OLB",0,"MIN",81.46,1.35,1.42,0.13,186.56,200,"WR",3,2,10,25,835,"mi","SINGLEBACK",6,0.520789601,0.479210399,0.025248989,-0.025248989,0.741035435,-0.496262008,32.3186813186813
"8152","ARI","left",51.49,4.73,0.67,1.06,225,"DB",1,"MIN",87.04,5.89,1.62,0.58,86.38,200,"WR",2,1,10,16,277,"C","SINGLEBACK",7,0.910187254,0.089812746,0.002925506,-0.002925506,0.667586253,0.320534019,32.2994505494506
"5599","CIN","left",42.85,2.76,0.31,53.81,250,"ILB",1,"BAL",21.6,2.83,1.73,0.27,187.7,221,"RB",2,1,10,14,860,"mi","PISTOL",7,0.724600181,0.275399819,-0.001225989,0.001225989,5.019251617,-0.331640964,29.7362637362637
"5350","SF","left",3.62,4.07,0.4,202.29,212,"FS",1,"CAR",80.25,3.71,3.11,0.37,329.39,190,"WR",2,1,10,22,103,"C","SHOTGUN",6,0.224378906,0.775621094,0.001090541,-0.001090541,1.060323258,0.016443741,NA
"29","BUF","right",35.7,3.15,0.45,75.59,192,"CB",0,"LA",67.78,3.71,2.47,0.38,132.2,200,"RB",3,1,10,48,422,"C","SINGLEBACK",5,0.273964956,0.726035044,0.008647081,-0.008647081,2.88568917,0.513975036,25.1401098901099
"5315","TEN","left",31.6,3.89,0.09,179.39,188,"CB",1,"WAS",79.84,1.94,2.22,0.17,166.74,195,"RB",4,3,9,27,473,"C","EMPTY",5,0.255903412,0.744096588,-0.053392641,0.053392641,0.170325808,-1.130430732,29.25
"3752","CAR","right",9.98,1.07,0.18,249.17,211,"FS",1,"ARI",48.5,2.61,0.77,0.26,111.78,250,"TE",2,3,6,37,573,"C","SHOTGUN",6,0.694555636,0.305444364,0.019439016,-0.019439016,0.719910649,-0.605959427,32.0027472527473
"6067","MIN","left",26.74,2.5,0.6,157.67,203,"CB",1,"MIA",72.31,4.41,2.47,0.44,118.9,185,"WR",4,1,10,25,853,"C","SINGLEBACK",7,0.064289171,0.935710829,0.004308585,-0.004308585,1.162781828,0.729858917,28.7252747252747
"2437","NO","right",19.77,0.89,0.29,109.39,300,"DT",0,"CAR",45.28,4.02,1.99,0.41,102.05,260,"TE",1,1,10,27,894,"mi","SINGLEBACK",7,0.43727218,0.56272782,0.012340862,-0.012340862,1.346156784,0.93991406,26.3928571428571
"455","PHI","left",9.18,0.79,0.58,271.37,216,"ILB",0,"DET",55.42,5.28,1.99,0.55,256.94,311,"C",1,2,11,24,867,"mi","SINGLEBACK",6,0.324016796,0.675983204,0.097055459,-0.097055459,0.252368387,4.246837449,26.4093406593407
"8565","SEA","left",33.81,1.28,0.15,12,251,"OLB",1,"NYG",70.97,2.13,1.03,0.22,336.08,310,"G",3,1,10,37,715,"mi","SINGLEBACK",6,0.630431641,0.369568359,0.007476419,-0.007476419,2.130247673,-0.086795726,30.5961538461538
"884","ARI","left",29.32,0.68,0.04,335.31,191,"CB",0,"KC",95.86,2.92,0.68,0.3,255.04,316,"C",4,2,10,10,264,"mi","SINGLEBACK",8,0.001126166,0.998873834,8.1e-05,-8.1e-05,0.033788888,1.526930368,NA
"2910","TEN","right",21.69,3.04,0.21,129.54,238,"ILB",1,"LV",59.56,2.11,2.49,0.2,326.21,220,"RB",3,1,10,37,822,"mi","I_FORM",7,0.865814496,0.134185504,-0.015384553,0.015384553,2.09115241,0.931885628,24.7032967032967
"4188","JAX","left",27.95,1,0.26,324.07,294,"DT",1,"PHI",35.75,0.98,2,0.11,121.02,211,"RB",4,1,10,28,139,"mi","SHOTGUN",7,0.996561426,0.003438574,0.000150307,-0.000150307,3.855733157,-0.804658755,25.5082417582418
"554","IND","left",14.11,2.41,0.67,211.57,236,"OLB",1,"HOU",51.87,5.52,3.58,0.55,312.86,200,"WR",2,2,10,48,655,"C","SHOTGUN",5,0.261725655,0.738274345,0.032380905,-0.032380905,2.130023363,1.145776999,29.3379120879121
"309","PIT","right",19.21,2.8,0.05,263.8,207,"FS",1,"CIN",65.77,2.42,2.42,0.25,251.7,200,"WR",2,1,10,35,241,"C","SINGLEBACK",6,0.317865357,0.682134643,0.021538626,-0.021538626,1.632597741,1.249305421,NA
"2715","MIN","left",2.51,6.01,0.44,247.34,185,"CB",1,"DET",66.88,4.54,2.93,0.47,67.91,213,"RB",4,2,4,28,433,"mi","SINGLEBACK",6,0.33116816,0.66883184,-0.066099133,0.066099133,1.165833976,1.095753038,27.5741758241758
"8708","CLE","left",40.63,0.4,0.05,269.89,200,"CB",0,"CIN",66.64,0.75,0.55,0.07,347.5,210,"WR",2,1,10,44,295,"mi","SHOTGUN",6,0.650646213,0.349353787,0.004957739,-0.004957739,2.402117304,-0.328314407,23.8653846153846
"8889","ATL","right",14.64,5.21,0.37,168.59,234,"ILB",1,"LAC",52.98,2.44,1.34,0.25,171.54,190,"WR",4,3,5,37,179,"C","PISTOL",6,0.425968148,0.574031852,-0.06237977,0.06237977,0.781242714,1.105976209,29.6758241758242
"7877","CAR","right",14.13,0.54,0.05,250.84,250,"OLB",0,"ATL",50.74,2.21,1.96,0.23,170.86,300,"C",3,1,10,38,385,"mi","PISTOL",8,0.682418816,0.317581184,-0.0001253,0.0001253,2.160448532,-0.028924223,NA
"7756","BAL","left",35.59,0.73,0.05,10.97,300,"DE",0,"TB",32.12,1.49,0.71,0.15,271.8,322,"T",1,2,2,22,115,"C","SHOTGUN",6,0.754469998,0.245530002,0.011371683,-0.011371683,4.716221126,0.419358186,23.8379120879121
